Employee_ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating
00-35124449,John,Hansen,Female,Illinois,Chicago,Bachelor,29/01/1975,5/1/2017,,Sales,Sales Representative,"$61,760.00",Good
00-91074604,Heather,Russell,Male,New York,New York City,Bachelor,13/01/1992,26/03/2017,,Operations,Logistics Coordinator,"$59,366.00",Good
00-68223505,David,Phillips,Female,Michigan,Grand Rapids,Bachelor,5/10/1974,8/9/2020,,Operations,Logistics Coordinator,"$57,427.00",Satisfactory
00-25660291,Yolanda,Smith,Female,New York,New York City,Master,21/07/1974,17/09/2015,,Operations,Operations Analyst,"$64,771.00",Excellent
00-71762034,Kevin,Warner,Male,New York,Rochester,High School,3/8/1970,30/11/2022,,Operations,Inventory Specialist,"$63,578.00",Needs Improvement
00-90783964,Ashley,Silva,Male,New York,New York City,Bachelor,26/07/2000,26/06/2022,,Operations,Operations Analyst,"$66,465.00",Good
00-92778089,Steven,Taylor,Male,New York,New York City,Bachelor,21/08/1988,1/10/2018,,Operations,Logistics Coordinator,"$68,528.00",Excellent
00-63015631,Richard,Clarke,Male,Michigan,Warren,High School,19/04/1984,24/05/2023,,IT,IT Support Specialist,"$57,460.00",Satisfactory
00-28134687,Courtney,Padilla,Female,New York,Rochester,Bachelor,6/8/1971,1/1/2015,,Operations,Logistics Coordinator,"$59,919.00",Satisfactory
00-12132081,Michelle,Jones,Male,Illinois,Naperville,Bachelor,30/10/1981,13/12/2022,,IT,IT Support Specialist,"$68,034.00",Excellent
00-13599088,Hannah,Schmidt,Female,Michigan,Grand Rapids,Bachelor,14/01/1980,26/04/2017,,Sales,Sales Specialist,"$71,532.00",Good
00-97206603,Ronald,Nelson,Male,New York,Rochester,Bachelor,14/08/2003,26/08/2017,,Customer Service,Customer Service Representative,"$62,294.00",Good
00-82287324,Amy,Norton,Male,New York,New York City,Bachelor,8/4/1995,2/11/2017,,Finance,Financial Analyst,"$99,444.00",Excellent
00-72199925,Gail,Oliver,Male,New York,New York City,Bachelor,10/7/1991,11/5/2017,,Sales,Sales Representative,"$71,746.00",Good
00-25630838,Jill,Brown,Female,New York,Rochester,Bachelor,26/01/1989,20/12/2017,,Sales,Sales Representative,"$56,649.00",Satisfactory
00-69762583,Emily,Barron,Male,Pennsylvania,Philadelphia,Master,28/12/1965,13/02/2024,,IT,Software Developer,"$90,033.00",Excellent
00-70333053,Patrick,Marshall,Male,New York,Buffalo,Bachelor,31/05/1984,16/01/2020,,Marketing,Marketing Coordinator,"$63,880.00",Satisfactory
00-86427662,Michael,Thompson,Female,New York,New York City,Bachelor,21/10/1980,6/8/2023,,Marketing,Content Creator,"$61,377.00",Excellent
00-54808596,Janet,Castro,Female,New York,Rochester,High School,29/07/1998,28/10/2015,,IT,IT Support Specialist,"$61,018.00",Satisfactory
00-67953597,Jamie,Zavala,Male,Ohio,Cleveland,Bachelor,3/5/1984,2/4/2024,,Customer Service,Help Desk Technician,"$74,268.00",Good
00-87666600,Amber,Banks,Male,New York,New York City,Bachelor,10/6/1985,13/10/2020,,Operations,Operations Analyst,"$77,573.00",Needs Improvement
00-14968366,Sheila,Carpenter,Female,New York,Rochester,Bachelor,30/05/1997,30/09/2019,,Operations,Logistics Coordinator,"$59,548.00",Good
00-89327948,Jason,Mcgee,Male,North Carolina,Charlotte,Bachelor,24/03/1965,29/03/2022,,Operations,Logistics Coordinator,"$77,942.00",Excellent
00-75485030,Luke,Hurst,Female,New York,Rochester,Master,4/12/1980,15/07/2017,,Sales,Sales Consultant,"$84,663.00",Excellent
00-12552775,Erin,Ramirez,Male,New York,New York City,High School,28/01/1973,25/01/2019,,Customer Service,Support Specialist,"$65,328.00",Satisfactory
00-18524244,Nathan,Chavez,Male,New York,Buffalo,Master,8/8/1989,14/07/2017,,Operations,Operations Analyst,"$66,094.00",Good
00-73530347,Alisha,Martinez,Male,New York,New York City,Bachelor,1/6/2001,2/10/2016,,Sales,Sales Specialist,"$62,428.00",Needs Improvement
00-56541891,Amanda,Bryan,Male,New York,New York City,High School,24/05/1972,16/12/2019,,Customer Service,Support Specialist,"$56,264.00",Satisfactory
00-31653807,Kelly,Oliver,Male,Michigan,Grand Rapids,High School,16/07/1999,7/11/2017,,Operations,Inventory Specialist,"$62,432.00",Satisfactory
00-56150415,Emily,Steele,Female,North Carolina,Greensboro,Bachelor,5/4/1973,9/12/2019,,IT,Software Developer,"$98,869.00",Satisfactory
00-88874216,Cameron,Mcclain,Male,North Carolina,Greensboro,Bachelor,3/9/1998,27/06/2023,,Operations,Logistics Coordinator,"$64,914.00",Good
00-98175428,Christopher,Myers,Female,New York,Rochester,Bachelor,26/03/1989,11/3/2019,,Marketing,Marketing Coordinator,"$71,459.00",Needs Improvement
00-62394739,Keith,Frye,Male,Michigan,Grand Rapids,High School,31/07/1971,12/2/2024,,Customer Service,Support Specialist,"$68,672.00",Satisfactory
00-58352683,Fred,Rodriguez,Male,New York,New York City,High School,10/5/1976,27/02/2023,,Customer Service,Customer Service Representative,"$54,351.00",Needs Improvement
00-37811066,Tyler,Golden,Female,Ohio,Cleveland,PhD,21/10/1990,22/07/2017,,Sales,Sales Specialist,"$63,814.00",Excellent
00-99530801,Stephanie,Johnson,Female,Michigan,Detroit,Master,1/2/1997,11/6/2019,,Operations,Operations Analyst,"$79,664.00",Excellent
00-30980122,Tara,Weaver,Female,New York,Rochester,Bachelor,24/02/1970,21/02/2021,,Operations,Inventory Specialist,"$61,049.00",Good
00-65832475,Thomas,Fisher,Male,New York,New York City,Master,5/11/1984,13/10/2024,,IT,IT Manager,"$112,233.00",Excellent
00-41503438,Deanna,Carter,Female,New York,New York City,High School,17/07/1981,25/01/2017,,IT,IT Support Specialist,"$63,270.00",Satisfactory
00-58155542,Andrew,Pham,Female,North Carolina,Charlotte,Bachelor,2/9/1960,21/11/2023,,Customer Service,Support Specialist,"$54,094.00",Excellent
00-31287665,Stacey,Newman,Female,New York,Rochester,Bachelor,21/02/1976,9/6/2017,,Operations,Inventory Specialist,"$57,356.00",Good
00-18545050,Beth,Rios,Female,New York,New York City,Bachelor,2/4/1979,2/11/2018,,Operations,Inventory Specialist,"$59,995.00",Excellent
00-40425851,Mark,Watkins,Female,New York,Rochester,Bachelor,3/1/1992,27/09/2016,,Sales,Sales Representative,"$72,169.00",Good
00-44604301,Alyssa,Kelley,Male,Pennsylvania,Allentown,High School,16/11/1989,26/06/2024,,IT,IT Support Specialist,"$57,158.00",Excellent
00-16264794,Kevin,Anderson,Female,New York,Buffalo,Bachelor,13/10/1987,3/11/2023,,IT,Software Developer,"$81,261.00",Excellent
00-30290817,Kirk,Mccormick,Female,New York,Rochester,Bachelor,25/08/1999,30/03/2023,,Customer Service,Support Specialist,"$53,876.00",Satisfactory
00-99856875,Todd,Arellano,Female,New York,Buffalo,Master,23/11/1995,25/10/2016,,Sales,Sales Consultant,"$81,954.00",Excellent
00-71355706,Megan,Hernandez,Male,New York,New York City,Bachelor,28/03/1991,20/04/2024,,HR,HR Assistant,"$65,330.00",Satisfactory
00-91949659,Stephen,Jackson,Female,West Virginia,Huntington,Bachelor,6/3/1997,25/12/2021,,Customer Service,Support Specialist,"$53,610.00",Needs Improvement
00-85493830,Eugene,Nichols,Female,Pennsylvania,Philadelphia,Bachelor,26/01/2000,12/3/2015,,Marketing,Marketing Coordinator,"$64,373.00",Satisfactory
00-94547252,Teresa,Franco,Female,New York,Buffalo,Bachelor,13/09/2002,26/09/2016,,Sales,Sales Specialist,"$76,325.00",Needs Improvement
00-31076551,Rebecca,Bauer,Male,New York,New York City,Bachelor,3/6/1986,4/3/2022,,Customer Service,Help Desk Technician,"$91,629.00",Good
00-77900294,John,Williams,Female,New York,New York City,High School,19/02/2002,2/5/2020,,Customer Service,Support Specialist,"$55,160.00",Satisfactory
00-96851348,Autumn,Alexander,Female,New York,Buffalo,Bachelor,3/4/1968,24/05/2018,,IT,IT Support Specialist,"$62,933.00",Satisfactory
00-37097261,Jack,Hart,Female,New York,Buffalo,High School,28/09/1984,14/01/2019,,Customer Service,Customer Service Representative,"$60,966.00",Satisfactory
00-10884169,Elizabeth,Spence,Female,New York,New York City,Bachelor,3/12/1967,27/02/2017,,Sales,Sales Representative,"$69,161.00",Good
00-48488047,Nathan,Fernandez,Male,New York,New York City,Bachelor,2/5/1972,4/3/2020,,Finance,Accounts Payable Specialist,"$68,981.00",Good
00-59987561,Amanda,Martinez,Male,Illinois,Naperville,PhD,24/03/1982,10/1/2022,,Sales,Sales Consultant,"$80,067.00",Excellent
00-94482060,Richard,Porter,Male,New York,New York City,Bachelor,17/02/1971,26/02/2022,,Operations,Operations Manager,"$112,670.00",Satisfactory
00-81088456,Stacie,Reilly,Male,New York,New York City,Bachelor,29/06/1992,2/3/2019,,Operations,Logistics Coordinator,"$70,480.00",Good
00-67555628,Adam,Rodgers,Male,Michigan,Detroit,High School,3/4/1993,17/07/2019,,Customer Service,Support Specialist,"$56,549.00",Excellent
00-79277190,Mark,Thornton,Male,Pennsylvania,Pittsburgh,Bachelor,29/01/1979,4/7/2023,,Operations,Inventory Specialist,"$64,248.00",Satisfactory
00-69401906,Paula,Montes,Male,New York,Rochester,Bachelor,17/03/1965,20/10/2017,,Customer Service,Help Desk Technician,"$78,699.00",Satisfactory
00-79437366,Tina,Berry,Male,New York,Buffalo,High School,9/9/1978,27/02/2024,,HR,Recruiter,"$70,161.00",Excellent
00-52252354,Lauren,Chandler,Female,New York,New York City,Bachelor,20/09/2001,25/12/2019,,IT,System Administrator,"$74,756.00",Satisfactory
00-18250139,Scott,Norris,Female,New York,Rochester,Bachelor,23/10/1997,12/10/2019,,Sales,Sales Specialist,"$58,715.00",Satisfactory
00-96096076,Timothy,Williams,Female,New York,New York City,PhD,6/2/1964,21/09/2017,,Sales,Sales Specialist,"$97,028.00",Excellent
00-94772931,Andrea,Parker,Female,New York,Buffalo,Master,12/1/1983,4/6/2024,,Sales,Sales Specialist,"$72,948.00",Excellent
00-49691460,Christina,Robinson,Male,New York,Rochester,Bachelor,14/10/1991,19/05/2019,,IT,Software Developer,"$104,561.00",Good
00-84304333,Christopher,Brown,Female,New York,Buffalo,PhD,9/5/1980,7/9/2023,,Sales,Sales Specialist,"$82,940.00",Excellent
00-52103461,James,Fox,Male,New York,Buffalo,PhD,30/10/1990,31/10/2023,,Sales,Sales Specialist,"$61,100.00",Excellent
00-47551535,Shari,Ramirez,Female,West Virginia,Morgantown,High School,12/2/1990,9/1/2023,,Customer Service,Customer Service Representative,"$55,971.00",Satisfactory
00-64215650,Christopher,Atkinson,Male,New York,New York City,Bachelor,22/03/1961,20/09/2019,,IT,Software Developer,"$94,170.00",Satisfactory
00-93800137,Emily,Miller,Male,Illinois,Aurora,Bachelor,12/5/1983,18/07/2023,,IT,Software Developer,"$99,161.00",Good
00-56338752,Preston,Henry,Male,New York,Rochester,Bachelor,3/12/1988,23/08/2023,,Operations,Operations Analyst,"$84,985.00",Satisfactory
00-36480587,Cassie,Harding,Male,New York,New York City,High School,1/9/1987,19/12/2023,,Customer Service,Help Desk Technician,"$55,398.00",Satisfactory
00-82133102,Elizabeth,Sanders,Male,New York,Rochester,Master,13/06/1966,6/10/2018,,IT,System Administrator,"$83,605.00",Good
00-26912191,Melissa,Wood,Female,New York,New York City,Bachelor,28/02/2003,24/05/2020,,IT,IT Support Specialist,"$61,422.00",Good
00-38686961,Alexander,Cooper,Female,North Carolina,Charlotte,Bachelor,19/10/1984,29/04/2016,,Sales,Sales Representative,"$59,086.00",Satisfactory
00-79972515,Tiffany,Sawyer,Male,North Carolina,Raleigh,Master,21/12/1995,4/2/2018,,IT,System Administrator,"$90,525.00",Excellent
00-13143613,Jason,Barron,Female,West Virginia,Morgantown,High School,10/5/1991,15/10/2015,,Operations,Inventory Specialist,"$56,933.00",Satisfactory
00-44720808,Victoria,Lara,Female,Virginia,Virginia Beach,Bachelor,2/12/1965,23/04/2017,,Operations,Logistics Coordinator,"$57,667.00",Satisfactory
00-66739991,Frank,Luna,Male,New York,New York City,Bachelor,27/03/2003,14/12/2024,,Sales,Sales Representative,"$68,718.00",Needs Improvement
00-18045780,Rodney,Mosley,Male,Michigan,Detroit,Bachelor,13/08/1969,24/02/2023,,IT,Software Developer,"$120,359.00",Satisfactory
00-78115413,Mary,Harper,Female,New York,Rochester,Bachelor,12/10/1995,25/02/2018,,Operations,Logistics Coordinator,"$57,497.00",Satisfactory
00-97370696,Jared,Wells,Female,New York,New York City,Master,30/01/1998,2/12/2024,,Operations,Operations Analyst,"$81,564.00",Excellent
00-86830962,Alicia,Rogers,Female,New York,New York City,Bachelor,20/09/1990,29/12/2022,,Operations,Inventory Specialist,"$58,330.00",Satisfactory
00-41688446,Susan,Avila,Male,New York,New York City,High School,31/08/1980,4/2/2023,,Customer Service,Support Specialist,"$58,664.00",Satisfactory
00-94254420,Adam,Fowler,Female,New York,Buffalo,High School,23/05/1968,17/04/2022,,Customer Service,Support Specialist,"$62,953.00",Needs Improvement
00-57021454,Robert,Peters,Female,New York,New York City,High School,16/10/1973,3/10/2017,,Operations,Inventory Specialist,"$66,407.00",Excellent
00-86875315,Ashley,Melendez,Female,New York,Buffalo,High School,18/08/1986,19/03/2022,,Operations,Inventory Specialist,"$60,157.00",Satisfactory
00-79748476,Jacob,James,Male,Pennsylvania,Allentown,Bachelor,31/08/1987,4/8/2022,,Operations,Inventory Specialist,"$66,944.00",Good
00-79316990,Tracy,Carson,Male,New York,New York City,Master,30/09/1993,27/04/2020,,Operations,Operations Analyst,"$60,854.00",Excellent
00-23151704,Mary,Torres,Female,Michigan,Warren,High School,2/3/1997,6/8/2017,,Marketing,SEO Specialist,"$56,352.00",Satisfactory
00-65304811,Jodi,Walker,Male,New York,Buffalo,Bachelor,19/06/1977,3/11/2016,,Operations,Logistics Coordinator,"$70,155.00",Satisfactory
00-27456803,Aaron,Baker,Female,New York,Buffalo,High School,11/9/1987,6/9/2019,,Operations,Inventory Specialist,"$60,313.00",Satisfactory
00-59565830,Mary,Kennedy,Male,New York,Buffalo,High School,19/10/1971,11/9/2022,,Marketing,Content Creator,"$66,697.00",Excellent
00-85023475,Elizabeth,Roberts,Male,New York,Rochester,Bachelor,3/2/1983,10/3/2020,,HR,HR Coordinator,"$60,998.00",Excellent
00-45392370,Travis,Watts,Female,New York,New York City,PhD,7/11/1983,5/4/2020,,Sales,Sales Specialist,"$84,070.00",Excellent
00-69066531,Anthony,Hubbard,Female,Pennsylvania,Allentown,Bachelor,8/5/1982,11/7/2022,,Customer Service,Help Desk Technician,"$68,055.00",Needs Improvement
00-65958370,Virginia,Jones,Female,New York,New York City,Bachelor,24/12/1995,17/10/2023,,Operations,Logistics Coordinator,"$62,383.00",Good
00-27062291,Michael,Castillo,Female,Pennsylvania,Pittsburgh,Bachelor,19/12/2002,19/06/2019,,Marketing,Content Creator,"$60,403.00",Good
00-78878589,Miranda,Burton,Female,New York,New York City,High School,6/2/1971,4/7/2023,,Customer Service,Customer Service Representative,"$61,120.00",Satisfactory
00-38540398,Terri,Cardenas,Female,New York,New York City,High School,9/4/1997,25/05/2019,,IT,IT Support Specialist,"$58,578.00",Satisfactory
00-31050667,William,Johnston,Male,New York,Buffalo,Bachelor,3/11/1970,24/11/2024,,Operations,Logistics Coordinator,"$68,802.00",Satisfactory
00-90745413,Jordan,Perkins,Female,New York,Buffalo,Bachelor,9/10/1999,26/02/2023,,Operations,Logistics Coordinator,"$60,747.00",Good
00-59604988,Luis,Johns,Female,New York,Rochester,High School,20/05/2002,22/02/2020,,Marketing,Content Creator,"$59,852.00",Excellent
00-30576183,Michael,Brown,Female,Virginia,Richmond,Bachelor,29/04/2001,20/05/2016,,Sales,Sales Representative,"$58,894.00",Good
00-50702879,Robert,Barr,Male,New York,Rochester,High School,10/12/2002,19/05/2017,,Customer Service,Help Desk Technician,"$72,601.00",Satisfactory
00-29175605,Brandon,Carter,Male,New York,New York City,Bachelor,10/8/1993,6/9/2017,,Customer Service,Customer Service Representative,"$69,872.00",Excellent
00-16529832,Sharon,Palmer,Female,New York,New York City,Bachelor,7/2/1986,24/10/2024,,Marketing,Content Creator,"$60,110.00",Good
00-38934853,Courtney,Duran,Female,New York,New York City,Bachelor,11/3/1998,21/08/2017,,Customer Service,Customer Service Representative,"$55,440.00",Needs Improvement
00-10279945,Karen,Stephens,Female,New York,Rochester,High School,28/04/1961,4/12/2016,,HR,Recruiter,"$70,509.00",Satisfactory
00-15997180,Leslie,Kirk,Male,New York,Rochester,Bachelor,5/9/2002,7/11/2019,,Finance,Accountant,"$75,645.00",Needs Improvement
00-85935555,Kevin,Jennings,Male,Michigan,Detroit,Bachelor,7/12/1976,25/09/2019,,Sales,Sales Representative,"$75,555.00",Satisfactory
00-60641104,Michael,Ferguson,Male,New York,Rochester,Bachelor,10/8/1987,17/05/2019,,Operations,Logistics Coordinator,"$67,254.00",Good
00-91296981,Madeline,Smith,Male,Michigan,Warren,PhD,26/03/1974,21/07/2017,,Sales,Sales Consultant,"$84,439.00",Excellent
00-95424250,Juan,Maxwell,Female,New York,Buffalo,Bachelor,17/09/1991,10/6/2019,,Operations,Inventory Specialist,"$55,657.00",Good
00-70273791,Matthew,Bartlett,Male,New York,Buffalo,Bachelor,29/12/1981,9/2/2017,,IT,IT Support Specialist,"$70,402.00",Satisfactory
00-21987653,Jeffery,Gordon,Male,Virginia,Virginia Beach,Bachelor,7/3/1988,19/11/2023,,Customer Service,Support Specialist,"$70,280.00",Satisfactory
00-64979383,Jacob,Prince,Female,North Carolina,Raleigh,Master,22/04/1985,27/08/2018,,IT,Software Developer,"$84,328.00",Good
00-82611046,Hannah,Cisneros,Male,New York,Rochester,Bachelor,21/08/1983,25/11/2015,,Operations,Logistics Coordinator,"$71,423.00",Good
00-47228655,Amanda,Arnold,Female,New York,Buffalo,Bachelor,5/2/2004,21/10/2021,,Operations,Logistics Coordinator,"$52,889.00",Excellent
00-13329148,Leah,Butler,Male,Illinois,Chicago,High School,23/05/2000,21/12/2020,,HR,Recruiter,"$60,892.00",Excellent
00-85302098,Charles,Fuentes,Male,New York,New York City,Bachelor,19/05/1990,25/12/2021,,Operations,Operations Analyst,"$67,546.00",Good
00-21428912,Andre,Bailey,Female,New York,New York City,High School,9/10/1994,26/09/2017,,Customer Service,Support Specialist,"$56,075.00",Excellent
00-87424245,Michael,Montoya,Female,Michigan,Warren,Bachelor,3/2/1973,12/12/2022,,Sales,Sales Specialist,"$71,450.00",Satisfactory
00-35420283,Vanessa,Mills,Female,Michigan,Detroit,Bachelor,23/12/1996,13/05/2022,,Operations,Operations Analyst,"$80,379.00",Satisfactory
00-26144134,Gerald,Torres,Male,New York,New York City,Bachelor,7/11/1976,17/10/2022,,Sales,Sales Representative,"$73,670.00",Satisfactory
00-12546591,Lisa,Walker,Male,New York,Rochester,Bachelor,24/01/1972,29/11/2017,,Operations,Inventory Specialist,"$71,935.00",Good
00-87786253,Heather,Watts,Male,New York,New York City,Bachelor,26/07/1981,30/04/2019,,Marketing,Marketing Coordinator,"$74,580.00",Good
00-53007542,David,Anderson,Female,New York,New York City,High School,21/04/1963,31/01/2019,,Marketing,Content Creator,"$58,511.00",Needs Improvement
00-13122340,Roger,Hines,Male,New York,Buffalo,High School,2/11/1989,13/02/2018,,Operations,Inventory Specialist,"$59,278.00",Satisfactory
00-13228867,Chris,Hampton,Female,New York,Rochester,Bachelor,13/04/1982,22/10/2023,,Customer Service,Customer Service Representative,"$65,149.00",Good
00-44517819,Ryan,Gonzalez,Female,New York,Buffalo,Master,3/12/2000,13/01/2016,,Operations,Operations Analyst,"$74,419.00",Excellent
00-32569515,Laura,Palmer,Female,New York,Rochester,Bachelor,16/08/1970,24/01/2017,,Operations,Inventory Specialist,"$57,270.00",Good
00-22029742,Taylor,Kerr,Male,New York,New York City,Master,9/11/1993,17/01/2017,,IT,Software Developer,"$77,893.00",Excellent
00-32708438,Carl,Contreras,Male,New York,New York City,Bachelor,24/10/1976,20/10/2016,,Operations,Logistics Coordinator,"$73,722.00",Excellent
00-13646855,Colin,Martinez,Male,New York,Rochester,Master,12/4/1981,22/08/2022,,Finance,Financial Analyst,"$67,876.00",Good
00-23253224,Jamie,Santana,Female,New York,New York City,Bachelor,18/09/1996,13/03/2018,,Operations,Inventory Specialist,"$54,308.00",Good
00-44619354,Ellen,Johnson,Female,New York,New York City,Bachelor,12/12/1990,26/02/2018,,Operations,Operations Analyst,"$77,757.00",Good
00-37187070,Meghan,Mcmahon,Female,Michigan,Detroit,Bachelor,23/09/1975,14/08/2017,,Marketing,Marketing Coordinator,"$73,338.00",Good
00-41741300,Michael,Martin,Female,New York,Rochester,Bachelor,26/08/1965,13/07/2020,,Finance,Accounts Payable Specialist,"$60,247.00",Good
00-25445960,Kimberly,Austin,Female,New York,Buffalo,High School,23/07/1997,16/07/2017,,IT,IT Support Specialist,"$60,712.00",Satisfactory
00-84238655,Ashley,Garcia,Female,Ohio,Cincinnati,Bachelor,5/6/1964,13/08/2019,,Customer Service,Customer Service Representative,"$61,152.00",Needs Improvement
00-64692890,Kathryn,Rice,Female,New York,New York City,Bachelor,24/04/1990,5/10/2021,,Operations,Operations Manager,"$96,706.00",Good
00-84366722,James,Campbell,Male,New York,Rochester,Bachelor,6/2/1977,16/12/2024,,Operations,Logistics Coordinator,"$64,605.00",Needs Improvement
00-43059986,Karen,Smith,Male,New York,Rochester,High School,4/4/1980,9/10/2022,,Customer Service,Help Desk Technician,"$77,649.00",Satisfactory
00-26853900,Corey,Lewis,Male,New York,Buffalo,Bachelor,19/11/1974,15/07/2018,,Marketing,SEO Specialist,"$97,107.00",Needs Improvement
00-21261988,Melissa,Wells,Female,Ohio,Cincinnati,High School,24/11/1979,29/09/2023,,Operations,Inventory Specialist,"$64,972.00",Satisfactory
00-29108179,Bridget,Gonzales,Male,New York,Rochester,Bachelor,13/10/1998,11/2/2018,,Operations,Logistics Coordinator,"$64,020.00",Good
00-42905017,Henry,Kelly,Male,New York,Rochester,Bachelor,14/12/1990,27/05/2020,,Marketing,SEO Specialist,"$92,180.00",Good
00-70631785,Roger,Palmer,Male,New York,Buffalo,High School,23/11/1984,8/6/2015,,Customer Service,Help Desk Technician,"$60,275.00",Satisfactory
00-93312959,Daniel,Rollins,Male,Michigan,Detroit,Bachelor,26/05/1983,18/02/2017,,Sales,Sales Representative,"$82,011.00",Good
00-18076555,Steven,Stone,Female,New York,Buffalo,Master,17/05/2004,11/7/2024,,Operations,Operations Analyst,"$74,633.00",Good
00-90244451,Kathryn,Bush,Female,Michigan,Grand Rapids,Master,8/12/2002,5/8/2017,,IT,Software Developer,"$86,072.00",Good
00-57166514,Jennifer,Miller,Female,New York,Buffalo,Master,9/5/1989,11/7/2023,,IT,Software Developer,"$92,162.00",Good
00-78495121,Darrell,Campbell,Male,New York,New York City,Bachelor,16/01/1990,22/08/2017,,IT,IT Support Specialist,"$65,151.00",Satisfactory
00-81684250,Jill,Mcdaniel,Male,New York,Rochester,Bachelor,14/09/1988,22/11/2020,,Marketing,Marketing Coordinator,"$63,812.00",Good
00-63056925,Scott,Spencer,Male,New York,Buffalo,Bachelor,27/08/1974,23/04/2022,,Customer Service,Support Specialist,"$70,426.00",Needs Improvement
00-84689357,Traci,Patterson,Female,New York,Rochester,High School,25/07/1986,28/11/2024,,Operations,Inventory Specialist,"$60,313.00",Satisfactory
00-91932582,Chad,Randall,Female,New York,New York City,Bachelor,21/03/1974,3/7/2020,,Sales,Sales Consultant,"$96,360.00",Satisfactory
00-55987725,Sheila,Richardson,Female,New York,Rochester,High School,2/5/2000,5/1/2021,,Customer Service,Help Desk Technician,"$59,941.00",Satisfactory
00-46643203,Yolanda,Vasquez,Female,Michigan,Detroit,Bachelor,1/2/1976,10/2/2017,,Sales,Sales Specialist,"$56,852.00",Good
00-38269460,Randy,Mills,Male,Illinois,Chicago,Bachelor,30/10/1973,20/09/2019,,Sales,Sales Consultant,"$106,511.00",Good
00-12130654,Christopher,Thomas,Male,New York,Rochester,Bachelor,19/03/1992,4/6/2024,,Finance,Accountant,"$70,826.00",Good
00-10274812,Heather,Madden,Female,New York,Rochester,Bachelor,1/4/1972,15/10/2021,,Operations,Inventory Specialist,"$67,571.00",Good
00-33291610,Sara,Levine,Female,New York,Rochester,Master,16/01/1994,26/01/2019,,Operations,Operations Analyst,"$77,833.00",Excellent
00-75629343,Michael,Gonzalez,Male,Michigan,Warren,Bachelor,28/12/1965,19/03/2022,,Finance,Accountant,"$78,461.00",Good
00-97120361,Brooke,Ewing,Female,New York,New York City,Bachelor,17/08/1974,17/02/2022,,Marketing,Content Creator,"$62,873.00",Good
00-69750614,Jesse,Coleman,Male,New York,Buffalo,Bachelor,4/2/1980,13/07/2022,,Marketing,Marketing Coordinator,"$81,534.00",Satisfactory
00-60516391,Joshua,Reeves,Male,New York,New York City,Bachelor,11/4/1963,14/08/2023,,Sales,Sales Representative,"$73,067.00",Good
00-33781587,Brittney,Avila,Male,New York,Buffalo,Bachelor,31/01/1982,8/11/2023,,Operations,Operations Analyst,"$87,536.00",Good
00-26745522,Dawn,Ross,Male,Michigan,Grand Rapids,Bachelor,30/08/1970,4/7/2019,,Sales,Sales Representative,"$84,208.00",Satisfactory
00-11256721,Elizabeth,Clements,Male,New York,New York City,Bachelor,18/09/1969,8/7/2017,,Sales,Sales Representative,"$71,098.00",Needs Improvement
00-47733231,William,Hernandez,Female,New York,New York City,High School,27/08/1984,26/06/2022,,Customer Service,Help Desk Technician,"$77,684.00",Satisfactory
00-35704262,Daniel,King,Female,New York,Buffalo,Bachelor,28/04/1979,12/7/2016,,Customer Service,Help Desk Technician,"$55,994.00",Good
00-50691933,Jerry,Dunlap,Male,New York,New York City,Master,4/3/2002,12/1/2023,,IT,Software Developer,"$84,382.00",Excellent
00-76277877,Cory,Brown,Male,New York,Rochester,Bachelor,8/11/1981,27/01/2024,,Customer Service,Customer Service Representative,"$66,704.00",Good
00-76147579,Tyrone,Johnson,Male,New York,Buffalo,PhD,11/1/1989,11/3/2023,,Sales,Sales Consultant,"$90,470.00",Excellent
00-38063091,Patrick,Shelton,Male,New York,Buffalo,Bachelor,17/02/1994,1/3/2015,,Sales,Sales Specialist,"$89,143.00",Good
00-24890990,Kevin,Hanson,Male,New York,Rochester,Master,2/10/1979,23/10/2023,,Sales,Sales Manager,"$87,005.00",Good
00-76305077,Charles,Walton,Male,New York,Buffalo,High School,26/04/1994,26/10/2017,,IT,IT Support Specialist,"$61,313.00",Satisfactory
00-85927914,Travis,Owens,Male,New York,New York City,Bachelor,18/12/1994,25/04/2022,,Customer Service,Support Specialist,"$66,268.00",Good
00-33559082,Ebony,Henry,Female,New York,Rochester,PhD,6/6/1983,11/4/2016,,Finance,Financial Analyst,"$82,358.00",Excellent
00-18730772,Amy,Pacheco,Female,North Carolina,Greensboro,Bachelor,10/10/1966,28/07/2016,,IT,IT Support Specialist,"$58,796.00",Good
00-40596967,Amy,Cisneros,Male,Michigan,Warren,Bachelor,3/6/1991,13/01/2023,,IT,IT Support Specialist,"$66,431.00",Satisfactory
00-46819677,Vicki,Beard,Male,New York,Rochester,PhD,17/03/1995,16/02/2017,,Sales,Sales Specialist,"$82,209.00",Excellent
00-81530199,Patrick,Edwards,Male,New York,New York City,Bachelor,2/3/1985,27/05/2021,,IT,IT Support Specialist,"$64,304.00",Satisfactory
00-70924933,Scott,Johnson,Female,New York,Buffalo,Bachelor,26/03/1992,10/3/2015,,Sales,Sales Representative,"$59,123.00",Good
00-97245556,Angela,Dalton,Male,New York,Rochester,PhD,20/09/1970,27/04/2016,,Sales,Sales Consultant,"$93,448.00",Excellent
